date,tsp_name,loc,tsq
"October 28, 2017 10:05 PM CT",BayGas Storage,BG-1008,0
"October 28, 2017 10:05 PM CT",BayGas Storage,BG-1013,242322
"October 27, 2017 10:05 PM CT",BayGas Storage,BG-1002,102891
"October 27, 2017 10:05 PM CT",BayGas Storage,BG-1003,67500
"October 27, 2017 10:05 PM CT",BayGas Storage,BG-1008,0
"October 27, 2017 10:05 PM CT",BayGas Storage,BG-1013,243987
"October 26, 2017 10:05 PM CT",BayGas Storage,BG-1002,80177
"October 26, 2017 10:05 PM CT",BayGas Storage,BG-1003,37500
"October 26, 2017 10:05 PM CT",BayGas Storage,BG-1008,25000
"October 26, 2017 10:05 PM CT",BayGas Storage,BG-1013,226103
"October 25, 2017 10:05 PM CT",BayGas Storage,BG-1002,186179
"October 25, 2017 10:05 PM CT",BayGas Storage,BG-1003,17300
"October 25, 2017 10:05 PM CT",BayGas Storage,BG-1008,25000
"October 25, 2017 10:05 PM CT",BayGas Storage,BG-1013,317051
"October 24, 2017 10:05 PM CT",BayGas Storage,BG-1002,97251
"October 24, 2017 10:05 PM CT",BayGas Storage,BG-1003,61500
"October 24, 2017 10:05 PM CT",BayGas Storage,BG-1008,25000
"October 24, 2017 10:05 PM CT",BayGas Storage,BG-1013,267001
"October 23, 2017 10:05 PM CT",BayGas Storage,BG-1002,72037
"October 23, 2017 10:05 PM CT",BayGas Storage,BG-1003,76291
"October 23, 2017 10:05 PM CT",BayGas Storage,BG-1008,25000
"October 23, 2017 10:05 PM CT",BayGas Storage,BG-1013,247051
"October 22, 2017 10:05 PM CT",BayGas Storage,BG-1002,75804
"October 22, 2017 10:05 PM CT",BayGas Storage,BG-1003,83291
"October 22, 2017 10:05 PM CT",BayGas Storage,BG-1008,25000
"October 22, 2017 10:05 PM CT",BayGas Storage,BG-1013,247051
"October 21, 2017 10:05 PM CT",BayGas Storage,BG-1002,189880
"October 21, 2017 10:05 PM CT",BayGas Storage,BG-1003,83291
"October 21, 2017 10:05 PM CT",BayGas Storage,BG-1008,25000
"October 21, 2017 10:05 PM CT",BayGas Storage,BG-1013,247051
"October 20, 2017 10:05 PM CT",BayGas Storage,BG-1002,103090
"October 20, 2017 10:05 PM CT",BayGas Storage,BG-1003,68890
"October 20, 2017 10:05 PM CT",BayGas Storage,BG-1008,0
"October 20, 2017 10:05 PM CT",BayGas Storage,BG-1013,216352
"October 19, 2017 10:05 PM CT",BayGas Storage,BG-1002,84781
"October 19, 2017 10:05 PM CT",BayGas Storage,BG-1003,79471
"October 19, 2017 10:05 PM CT",BayGas Storage,BG-1008,0
"October 19, 2017 10:05 PM CT",BayGas Storage,BG-1013,208576
"October 18, 2017 10:05 PM CT",BayGas Storage,BG-1002,95989
"October 18, 2017 10:05 PM CT",BayGas Storage,BG-1003,78509
"October 18, 2017 10:05 PM CT",BayGas Storage,BG-1008,0
"October 18, 2017 10:05 PM CT",BayGas Storage,BG-1013,203576
"October 17, 2017 10:05 PM CT",BayGas Storage,BG-1002,-1887
"October 17, 2017 10:05 PM CT",BayGas Storage,BG-1003,124606
"October 17, 2017 10:05 PM CT",BayGas Storage,BG-1008,0
"October 17, 2017 10:05 PM CT",BayGas Storage,BG-1013,0
"October 16, 2017 10:05 PM CT",BayGas Storage,BG-1002,-11105
"October 16, 2017 10:05 PM CT",BayGas Storage,BG-1003,104548
"October 16, 2017 10:05 PM CT",BayGas Storage,BG-1008,0
"October 16, 2017 10:05 PM CT",BayGas Storage,BG-1013,207568
"October 15, 2017 10:05 PM CT",BayGas Storage,BG-1002,-1184
"October 15, 2017 10:05 PM CT",BayGas Storage,BG-1003,104548
"October 15, 2017 10:05 PM CT",BayGas Storage,BG-1008,0
"October 15, 2017 10:05 PM CT",BayGas Storage,BG-1013,207568
"October 14, 2017 10:05 PM CT",BayGas Storage,BG-1002,-1184
"October 14, 2017 10:05 PM CT",BayGas Storage,BG-1003,104548
"October 14, 2017 10:05 PM CT",BayGas Storage,BG-1008,0
"October 14, 2017 10:05 PM CT",BayGas Storage,BG-1013,207568
"October 13, 2017 10:05 PM CT",BayGas Storage,BG-1002,30643
"October 13, 2017 10:05 PM CT",BayGas Storage,BG-1003,40000
"October 13, 2017 10:05 PM CT",BayGas Storage,BG-1008,0
"October 13, 2017 10:05 PM CT",BayGas Storage,BG-1013,220408
"October 12, 2017 10:05 PM CT",BayGas Storage,BG-1002,6088
"October 12, 2017 10:05 PM CT",BayGas Storage,BG-1003,45675
"October 12, 2017 10:05 PM CT",BayGas Storage,BG-1008,0
"October 12, 2017 10:05 PM CT",BayGas Storage,BG-1013,181068
"October 11, 2017 10:05 PM CT",BayGas Storage,BG-1002,-87725
"October 11, 2017 10:05 PM CT",BayGas Storage,BG-1003,30000
"October 11, 2017 10:05 PM CT",BayGas Storage,BG-1008,0
"October 11, 2017 10:05 PM CT",BayGas Storage,BG-1013,194601
"October 10, 2017 10:05 PM CT",BayGas Storage,BG-1002,-212547
"October 10, 2017 10:05 PM CT",BayGas Storage,BG-1003,55000
"October 10, 2017 10:05 PM CT",BayGas Storage,BG-1008,0
"October 10, 2017 10:05 PM CT",BayGas Storage,BG-1013,204576
"October 9, 2017 10:05 PM CT",BayGas Storage,BG-1002,-321754
"October 9, 2017 10:05 PM CT",BayGas Storage,BG-1003,0
"October 9, 2017 10:05 PM CT",BayGas Storage,BG-1008,0
"October 9, 2017 10:05 PM CT",BayGas Storage,BG-1013,124775
"October 8, 2017 10:05 PM CT",BayGas Storage,BG-1002,-197584
"October 8, 2017 10:05 PM CT",BayGas Storage,BG-1003,0
"October 8, 2017 10:05 PM CT",BayGas Storage,BG-1008,0
"October 8, 2017 10:05 PM CT",BayGas Storage,BG-1013,124775
"October 7, 2017 10:05 PM CT",BayGas Storage,BG-1002,-110321
"October 7, 2017 10:05 PM CT",BayGas Storage,BG-1003,0
"October 7, 2017 10:05 PM CT",BayGas Storage,BG-1008,0
"October 7, 2017 10:05 PM CT",BayGas Storage,BG-1013,124775
"October 6, 2017 10:05 PM CT",BayGas Storage,BG-1002,25268
"October 6, 2017 10:05 PM CT",BayGas Storage,BG-1003,22206
"October 6, 2017 10:05 PM CT",BayGas Storage,BG-1008,0
"October 6, 2017 10:05 PM CT",BayGas Storage,BG-1013,136549
"October 5, 2017 10:05 PM CT",BayGas Storage,BG-1002,101219
"October 5, 2017 10:05 PM CT",BayGas Storage,BG-1003,100000
"October 5, 2017 10:05 PM CT",BayGas Storage,BG-1008,0
"October 5, 2017 10:05 PM CT",BayGas Storage,BG-1013,131562
"October 4, 2017 10:05 PM CT",BayGas Storage,BG-1002,130445
